date,time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_100m (km/h),soil_temperature_7_to_28cm (°C),soil_moisture_7_to_28cm (m³/m³)
2023-01-30,2023-01-30,11.6,76.0,0.0,6.3,17.2,0.161
2023-01-31,2023-01-31,12.1,80.0,0.0,2.5,17.5,0.16
2023-02-01,2023-02-01,13.0,70.0,0.0,4.2,17.8,0.158
2023-02-02,2023-02-02,14.2,69.0,0.0,7.2,18.8,0.153
2023-02-03,2023-02-03,12.0,61.0,0.0,1.3,18.9,0.15
2023-02-04,2023-02-04,12.3,74.0,0.0,2.4,18.6,0.154
2023-02-05,2023-02-05,10.1,83.0,0.0,7.2,18.4,0.155
2023-02-06,2023-02-06,8.9,92.0,0.0,4.6,18.0,0.152
2023-02-07,2023-02-07,10.6,90.0,0.0,2.0,17.9,0.149
2023-02-08,2023-02-08,11.0,77.0,0.0,1.1,17.5,0.144
2023-02-09,2023-02-09,10.2,84.0,0.0,5.6,17.6,0.149
2023-02-10,2023-02-10,10.8,80.0,0.0,2.1,18.1,0.149
2023-02-11,2023-02-11,10.3,91.0,0.0,4.3,18.3,0.151
2023-02-12,2023-02-12,12.3,71.0,0.0,0.4,18.1,0.153
2023-02-13,2023-02-13,13.6,97.0,0.2,1.8,18.7,0.153
2023-02-14,2023-02-14,7.9,77.0,0.0,9.0,18.4,0.155
2023-02-15,2023-02-15,11.2,84.0,0.0,4.1,18.4,0.158
2023-02-16,2023-02-16,12.5,87.0,0.0,5.5,18.6,0.16
2023-02-17,2023-02-17,12.1,86.0,0.0,1.5,19.2,0.163
2023-02-18,2023-02-18,12.9,86.0,0.0,2.1,19.5,0.165
2023-02-19,2023-02-19,11.6,93.0,0.0,2.9,19.7,0.163
2023-02-20,2023-02-20,13.7,87.0,0.0,2.2,20.1,0.162
2023-02-21,2023-02-21,14.4,86.0,0.0,1.4,20.3,0.163
2023-02-22,2023-02-22,13.8,94.0,0.0,7.2,20.3,0.161
2023-02-23,2023-02-23,14.0,84.0,0.0,5.9,20.4,0.163
2023-02-24,2023-02-24,13.0,95.0,0.0,4.9,20.3,0.162
2023-02-25,2023-02-25,12.8,89.0,0.0,8.0,20.3,0.152
2023-02-26,2023-02-26,12.9,87.0,0.0,5.0,20.7,0.148
2023-02-27,2023-02-27,11.9,90.0,0.0,4.7,20.7,0.151
2023-02-28,2023-02-28,12.5,71.0,0.0,4.3,20.4,0.155
2023-03-01,2023-03-01,11.6,82.0,0.0,4.0,20.5,0.151
2023-03-02,2023-03-02,13.3,67.0,0.0,2.8,20.6,0.152
2023-03-03,2023-03-03,12.9,70.0,0.0,3.6,20.6,0.152
2023-03-04,2023-03-04,12.3,76.0,0.0,6.7,20.8,0.152
2023-03-05,2023-03-05,15.1,61.0,0.0,1.9,21.2,0.152
2023-03-06,2023-03-06,14.5,82.0,0.0,3.5,21.7,0.153
2023-03-07,2023-03-07,14.0,87.0,0.0,2.9,21.8,0.152
2023-03-08,2023-03-08,14.2,66.0,0.0,4.7,21.6,0.151
2023-03-09,2023-03-09,14.6,61.0,0.0,4.3,22.2,0.151
2023-03-10,2023-03-10,16.7,72.0,0.0,3.1,22.7,0.154
2023-03-11,2023-03-11,15.3,59.0,0.0,4.0,22.7,0.151
2023-03-12,2023-03-12,16.0,65.0,0.0,0.5,22.7,0.151
2023-03-13,2023-03-13,14.5,65.0,0.0,4.3,22.9,0.156
2023-03-14,2023-03-14,15.1,61.0,0.0,4.3,23.1,0.151
2023-03-15,2023-03-15,15.5,76.0,0.0,5.5,23.2,0.15
2023-03-16,2023-03-16,13.7,97.0,0.0,2.1,21.2,0.153
2023-03-17,2023-03-17,14.5,85.0,0.0,3.9,21.3,0.155
2023-03-18,2023-03-18,16.1,77.0,0.0,8.5,21.4,0.17
2023-03-19,2023-03-19,15.8,85.0,0.0,6.9,21.3,0.167
2023-03-20,2023-03-20,16.1,95.0,0.2,6.8,20.0,0.171
2023-03-21,2023-03-21,14.7,97.0,0.1,4.9,19.4,0.172
2023-03-22,2023-03-22,13.8,96.0,0.0,2.7,19.8,0.161
2023-03-23,2023-03-23,13.5,96.0,0.0,3.5,19.5,0.154
2023-03-24,2023-03-24,13.5,93.0,0.0,1.9,19.8,0.152
2023-03-25,2023-03-25,13.7,89.0,0.0,2.7,20.2,0.137
2023-03-26,2023-03-26,15.2,90.0,0.0,0.7,20.9,0.138
2023-03-27,2023-03-27,15.9,94.0,0.0,2.6,21.5,0.123
2023-03-28,2023-03-28,14.7,94.0,0.0,4.1,21.0,0.116
2023-03-29,2023-03-29,14.9,89.0,0.0,3.5,21.3,0.119
2023-03-30,2023-03-30,14.7,88.0,0.0,1.4,21.8,0.117
2023-03-31,2023-03-31,16.7,87.0,0.0,6.9,22.3,0.106
2023-04-01,2023-04-01,16.8,82.0,0.0,3.6,22.9,0.109
2023-04-02,2023-04-02,15.9,96.0,0.1,5.9,21.0,0.113
2023-04-03,2023-04-03,15.2,97.0,0.1,2.9,21.0,0.113
2023-04-04,2023-04-04,14.4,96.0,0.0,3.1,20.9,0.106
2023-04-05,2023-04-05,15.4,85.0,0.0,7.4,21.6,0.109
2023-04-06,2023-04-06,16.7,97.0,0.1,4.1,22.0,0.11
2023-04-07,2023-04-07,14.4,86.0,0.0,5.2,22.0,0.109
2023-04-08,2023-04-08,14.6,82.0,0.0,7.2,22.6,0.109
2023-04-09,2023-04-09,15.8,70.0,0.0,4.8,23.4,0.108
2023-04-10,2023-04-10,16.6,73.0,0.0,3.9,24.1,0.11
2023-04-11,2023-04-11,18.3,68.0,0.0,2.2,24.7,0.105
2023-04-12,2023-04-12,17.5,63.0,0.0,4.7,25.1,0.103
2023-04-13,2023-04-13,17.0,51.0,0.0,1.8,25.4,0.101
2023-04-14,2023-04-14,18.9,61.0,0.0,3.9,25.9,0.104
2023-04-15,2023-04-15,19.4,66.0,0.0,8.0,26.5,0.104
2023-04-16,2023-04-16,20.3,69.0,0.0,7.3,26.8,0.103
2023-04-17,2023-04-17,21.0,71.0,0.0,3.1,27.4,0.103
2023-04-18,2023-04-18,21.5,73.0,0.0,4.2,27.7,0.104
2023-04-19,2023-04-19,22.2,84.0,0.0,2.5,28.0,0.102
2023-04-20,2023-04-20,21.7,65.0,0.0,10.1,28.0,0.103
2023-04-21,2023-04-21,22.1,69.0,0.0,6.4,27.8,0.108
2023-04-22,2023-04-22,19.7,80.0,0.1,10.3,26.5,0.112
2023-04-23,2023-04-23,20.2,75.0,0.0,8.4,25.9,0.111
2023-04-24,2023-04-24,17.2,98.0,0.0,7.3,24.4,0.112
2023-04-25,2023-04-25,19.0,70.0,0.0,7.2,25.3,0.112
2023-04-26,2023-04-26,19.0,90.0,0.0,3.7,26.0,0.109
2023-04-27,2023-04-27,19.4,68.0,0.0,2.2,26.3,0.104
2023-04-28,2023-04-28,20.9,81.0,0.0,6.4,26.8,0.104
2023-04-29,2023-04-29,19.6,77.0,0.0,3.0,27.1,0.101
2023-04-30,2023-04-30,22.5,69.0,0.0,0.8,28.1,0.102
2023-05-01,2023-05-01,21.8,75.0,0.0,1.8,28.1,0.101
2023-05-02,2023-05-02,22.0,74.0,0.2,8.0,28.1,0.099
2023-05-03,2023-05-03,20.6,68.0,0.0,6.8,27.4,0.097
2023-05-04,2023-05-04,21.3,86.0,0.0,2.4,27.3,0.103
2023-05-05,2023-05-05,19.5,98.0,0.0,2.8,25.1,0.107
2023-05-06,2023-05-06,21.2,85.0,0.0,2.3,26.0,0.099
2023-05-07,2023-05-07,20.9,79.0,0.0,6.7,26.8,0.092
2023-05-08,2023-05-08,20.8,68.0,0.0,2.6,27.6,0.088
2023-05-09,2023-05-09,20.5,66.0,0.0,7.4,28.3,0.091
2023-05-10,2023-05-10,23.1,55.0,0.0,0.4,28.8,0.095
2023-05-11,2023-05-11,22.9,65.0,0.0,7.1,29.1,0.092
2023-05-12,2023-05-12,22.5,66.0,0.0,12.1,29.5,0.094
2023-05-13,2023-05-13,22.8,81.0,0.0,2.4,29.9,0.094
2023-05-14,2023-05-14,19.8,82.0,1.5,20.9,25.8,0.088
2023-05-15,2023-05-15,18.0,91.0,0.1,10.4,21.9,0.19
2023-05-16,2023-05-16,19.4,92.0,0.0,2.6,22.8,0.208
2023-05-17,2023-05-17,19.3,73.0,0.0,8.4,24.2,0.203
2023-05-18,2023-05-18,19.5,92.0,0.0,5.8,24.6,0.198
2023-05-19,2023-05-19,19.7,94.0,0.0,7.1,24.7,0.194
2023-05-20,2023-05-20,20.4,87.0,0.0,6.0,24.9,0.188
2023-05-21,2023-05-21,21.0,90.0,0.0,4.6,25.3,0.179
2023-05-22,2023-05-22,21.9,75.0,0.0,8.4,26.1,0.172
2023-05-23,2023-05-23,21.8,81.0,0.0,2.9,26.8,0.164
2023-05-24,2023-05-24,21.8,84.0,0.0,5.1,27.0,0.157
2023-05-25,2023-05-25,21.1,76.0,0.0,8.4,25.9,0.153
2023-05-26,2023-05-26,21.1,92.0,0.0,5.8,27.0,0.151
2023-05-27,2023-05-27,20.6,90.0,0.0,4.0,25.7,0.151
2023-05-28,2023-05-28,20.8,87.0,0.0,1.1,26.1,0.148
2023-05-29,2023-05-29,21.1,87.0,0.0,2.0,26.8,0.148
2023-05-30,2023-05-30,23.3,82.0,0.0,3.8,28.3,0.146
2023-05-31,2023-05-31,24.2,85.0,0.0,1.3,29.7,0.136
2023-06-01,2023-06-01,25.1,80.0,0.0,6.8,30.5,0.133
2023-06-02,2023-06-02,24.9,81.0,0.0,5.9,30.7,0.131
2023-06-03,2023-06-03,24.0,80.0,0.0,3.6,30.2,0.131
2023-06-04,2023-06-04,24.1,77.0,0.0,11.2,30.1,0.13
2023-06-05,2023-06-05,23.6,76.0,0.0,3.9,30.5,0.127
2023-06-06,2023-06-06,25.8,72.0,0.0,2.9,31.8,0.125
2023-06-07,2023-06-07,23.1,92.0,0.0,5.4,30.7,0.123
2023-06-08,2023-06-08,23.7,91.0,0.0,5.2,28.8,0.129
2023-06-09,2023-06-09,23.8,88.0,0.1,9.0,28.1,0.129
2023-06-10,2023-06-10,23.9,86.0,0.2,4.5,27.1,0.15
2023-06-11,2023-06-11,23.1,89.0,0.1,10.4,26.2,0.237
2023-06-12,2023-06-12,22.2,91.0,0.0,5.9,25.2,0.318
2023-06-13,2023-06-13,22.7,92.0,0.0,6.4,25.9,0.313
2023-06-14,2023-06-14,21.9,94.0,0.0,6.1,25.7,0.398
2023-06-15,2023-06-15,21.7,97.0,0.0,1.1,25.2,0.37
2023-06-16,2023-06-16,21.9,94.0,0.0,1.8,25.6,0.36
2023-06-17,2023-06-17,22.1,93.0,0.0,2.2,24.9,0.352
2023-06-18,2023-06-18,21.9,94.0,0.0,2.7,25.1,0.341
2023-06-19,2023-06-19,22.5,90.0,0.0,8.0,25.6,0.33
2023-06-20,2023-06-20,22.4,88.0,0.0,8.6,25.1,0.323
2023-06-21,2023-06-21,23.0,91.0,0.0,5.0,25.8,0.31
2023-06-22,2023-06-22,22.4,94.0,0.0,6.1,25.8,0.301
2023-06-23,2023-06-23,22.7,93.0,1.5,5.9,25.5,0.301
2023-06-24,2023-06-24,22.2,93.0,0.0,1.1,24.7,0.35
2023-06-25,2023-06-25,22.1,91.0,0.1,6.9,25.2,0.337
2023-06-26,2023-06-26,22.6,97.0,0.1,4.4,25.6,0.335
2023-06-27,2023-06-27,22.9,92.0,0.0,1.9,25.4,0.344
2023-06-28,2023-06-28,22.8,93.0,0.1,5.7,25.2,0.369
2023-06-29,2023-06-29,23.2,90.0,0.0,2.6,25.7,0.358
2023-06-30,2023-06-30,23.1,89.0,0.0,3.0,26.3,0.342
2023-07-01,2023-07-01,23.8,91.0,0.0,5.9,26.2,0.327
2023-07-02,2023-07-02,24.1,87.0,0.0,6.8,26.5,0.311
2023-07-03,2023-07-03,24.1,92.0,0.0,4.3,27.0,0.292
2023-07-04,2023-07-04,23.8,87.0,0.0,7.4,27.2,0.278
2023-07-05,2023-07-05,23.0,94.0,0.0,5.4,26.7,0.266
2023-07-06,2023-07-06,23.4,92.0,0.0,5.5,26.0,0.308
2023-07-07,2023-07-07,23.0,92.0,0.0,2.8,25.2,0.333
2023-07-08,2023-07-08,23.2,95.0,0.1,3.6,25.7,0.334
2023-07-09,2023-07-09,24.2,91.0,0.0,3.8,26.3,0.33
2023-07-10,2023-07-10,23.4,93.0,0.0,7.5,26.1,0.325
2023-07-11,2023-07-11,22.8,94.0,0.0,6.7,25.4,0.375
2023-07-12,2023-07-12,23.2,92.0,0.0,5.1,25.9,0.359
2023-07-13,2023-07-13,23.2,91.0,0.2,7.3,25.9,0.352
2023-07-14,2023-07-14,22.8,94.0,0.9,4.3,25.3,0.355
2023-07-15,2023-07-15,22.4,90.0,0.0,4.9,25.7,0.357
2023-07-16,2023-07-16,22.7,92.0,0.0,4.1,25.8,0.341
2023-07-17,2023-07-17,22.4,94.0,0.1,2.8,25.1,0.338
2023-07-18,2023-07-18,22.7,90.0,0.0,3.1,25.4,0.339
2023-07-19,2023-07-19,23.9,85.0,0.0,2.8,26.7,0.322
2023-07-20,2023-07-20,24.5,89.0,0.0,6.6,27.4,0.305
2023-07-21,2023-07-21,23.0,93.0,0.0,7.3,26.9,0.32
2023-07-22,2023-07-22,22.8,94.0,0.0,12.4,26.7,0.327
2023-07-23,2023-07-23,23.5,85.0,0.0,9.6,26.5,0.317
2023-07-24,2023-07-24,22.8,94.0,0.0,8.7,26.6,0.306
2023-07-25,2023-07-25,23.5,89.0,1.2,4.1,26.2,0.305
2023-07-26,2023-07-26,22.6,92.0,0.0,3.7,26.1,0.328
2023-07-27,2023-07-27,23.2,94.0,0.0,1.3,26.3,0.328
2023-07-28,2023-07-28,23.3,93.0,0.1,10.1,26.5,0.318
2023-07-29,2023-07-29,23.1,93.0,0.0,8.1,26.1,0.32
2023-07-30,2023-07-30,22.7,98.0,0.0,4.9,26.0,0.338
2023-07-31,2023-07-31,23.1,94.0,0.0,10.0,26.5,0.335
2023-08-01,2023-08-01,23.6,92.0,0.1,12.7,26.4,0.322
2023-08-02,2023-08-02,22.6,93.0,0.2,14.6,25.9,0.34
2023-08-03,2023-08-03,22.8,99.0,0.0,2.1,25.4,0.38
2023-08-04,2023-08-04,23.3,93.0,0.0,6.9,25.6,0.384
2023-08-05,2023-08-05,23.4,94.0,0.0,1.9,25.4,0.396
2023-08-06,2023-08-06,23.1,88.0,0.0,9.0,25.9,0.376
2023-08-07,2023-08-07,22.8,90.0,0.1,6.9,25.4,0.367
2023-08-08,2023-08-08,22.9,97.0,0.0,4.9,25.1,0.385
2023-08-09,2023-08-09,23.0,93.0,0.0,1.5,24.8,0.408
2023-08-10,2023-08-10,23.3,94.0,0.1,6.7,25.6,0.384
2023-08-11,2023-08-11,23.2,94.0,0.0,8.4,25.6,0.375
2023-08-12,2023-08-12,23.2,91.0,0.0,7.4,25.8,0.361
2023-08-13,2023-08-13,22.9,92.0,0.3,9.0,25.5,0.363
2023-08-14,2023-08-14,23.2,93.0,0.0,4.2,26.1,0.359
2023-08-15,2023-08-15,23.9,93.0,0.0,7.1,26.2,0.348
2023-08-16,2023-08-16,23.1,94.0,0.0,5.8,26.2,0.375
2023-08-17,2023-08-17,22.9,98.0,0.2,5.0,25.9,0.372
2023-08-18,2023-08-18,23.5,93.0,0.0,8.4,26.2,0.359
2023-08-19,2023-08-19,23.4,90.0,0.0,6.0,26.2,0.345
2023-08-20,2023-08-20,23.4,92.0,0.0,8.3,26.4,0.335
2023-08-21,2023-08-21,23.6,94.0,0.1,9.7,25.8,0.326
2023-08-22,2023-08-22,23.3,89.0,1.0,9.5,25.7,0.322
2023-08-23,2023-08-23,21.7,95.0,0.1,6.9,24.1,0.355
2023-08-24,2023-08-24,22.2,95.0,0.0,8.2,25.1,0.354
2023-08-25,2023-08-25,22.8,96.0,0.0,5.1,25.0,0.365
2023-08-26,2023-08-26,22.8,95.0,1.5,7.2,25.1,0.393
2023-08-27,2023-08-27,22.3,91.0,0.0,13.1,24.5,0.406
2023-08-28,2023-08-28,22.3,93.0,0.0,8.0,25.0,0.388
2023-08-29,2023-08-29,21.4,95.0,0.0,5.7,25.1,0.374
2023-08-30,2023-08-30,22.0,94.0,0.0,6.1,25.6,0.357
2023-08-31,2023-08-31,22.4,96.0,0.1,3.7,25.8,0.378
2023-09-01,2023-09-01,23.0,95.0,0.0,6.3,25.6,0.365
2023-09-02,2023-09-02,23.0,94.0,0.0,8.7,25.8,0.356
2023-09-03,2023-09-03,21.4,98.0,0.0,5.9,25.3,0.344
2023-09-04,2023-09-04,20.7,91.0,0.0,11.7,25.4,0.328
2023-09-05,2023-09-05,21.5,86.0,0.0,10.5,25.8,0.313
2023-09-06,2023-09-06,21.5,87.0,0.0,9.5,25.9,0.299
2023-09-07,2023-09-07,22.7,94.0,0.9,4.7,26.1,0.285
2023-09-08,2023-09-08,22.4,96.0,0.1,4.7,25.6,0.281
2023-09-09,2023-09-09,22.2,95.0,0.0,7.4,24.9,0.332
2023-09-10,2023-09-10,22.8,94.0,0.0,5.4,25.7,0.327
2023-09-11,2023-09-11,22.6,95.0,0.0,7.6,25.5,0.328
2023-09-12,2023-09-12,22.2,95.0,0.0,4.1,25.8,0.325
2023-09-13,2023-09-13,22.2,97.0,0.0,11.4,25.8,0.319
2023-09-14,2023-09-14,22.1,96.0,0.6,17.0,25.1,0.351
2023-09-15,2023-09-15,21.2,95.0,0.0,5.2,25.0,0.355
2023-09-16,2023-09-16,22.2,96.0,0.0,3.6,25.7,0.347
2023-09-17,2023-09-17,22.6,93.0,0.0,6.0,26.0,0.335
2023-09-18,2023-09-18,22.9,92.0,1.5,7.1,26.1,0.322
2023-09-19,2023-09-19,22.1,93.0,3.5,9.7,24.9,0.361
2023-09-20,2023-09-20,22.6,93.0,0.0,6.8,24.8,0.39
2023-09-21,2023-09-21,22.0,94.0,0.1,3.9,24.4,0.41
2023-09-22,2023-09-22,21.4,95.0,0.0,5.5,24.3,0.409
2023-09-23,2023-09-23,22.1,96.0,0.0,4.9,24.9,0.397
2023-09-24,2023-09-24,21.2,96.0,0.0,10.6,24.8,0.379
2023-09-25,2023-09-25,22.0,96.0,0.0,3.0,24.8,0.37
2023-09-26,2023-09-26,21.4,97.0,0.0,2.8,24.8,0.353
2023-09-27,2023-09-27,21.7,95.0,0.0,6.5,24.8,0.341
2023-09-28,2023-09-28,22.1,95.0,0.0,4.4,25.0,0.331
2023-09-29,2023-09-29,22.5,88.0,0.0,17.3,25.5,0.318
2023-09-30,2023-09-30,22.3,93.0,1.8,15.7,25.4,0.319
2023-10-01,2023-10-01,21.8,98.0,0.1,10.2,25.0,0.344
2023-10-02,2023-10-02,21.6,96.0,0.0,6.7,24.9,0.346
2023-10-03,2023-10-03,22.4,92.0,0.2,0.4,25.1,0.342
2023-10-04,2023-10-04,21.6,96.0,0.0,2.5,25.0,0.338
2023-10-05,2023-10-05,21.3,98.0,0.0,4.0,25.1,0.329
2023-10-06,2023-10-06,20.4,94.0,1.0,8.0,25.1,0.321
2023-10-07,2023-10-07,21.3,97.0,0.1,4.9,23.5,0.345
2023-10-08,2023-10-08,20.7,99.0,0.0,7.0,23.9,0.354
2023-10-09,2023-10-09,21.1,93.0,0.0,5.8,24.3,0.344
2023-10-10,2023-10-10,20.6,95.0,0.0,3.1,24.2,0.332
2023-10-11,2023-10-11,20.4,98.0,0.0,0.8,24.2,0.324
2023-10-12,2023-10-12,20.6,94.0,0.0,4.5,24.3,0.314
2023-10-13,2023-10-13,20.3,94.0,0.0,11.3,23.5,0.33
2023-10-14,2023-10-14,19.1,91.0,0.0,5.2,23.2,0.326
2023-10-15,2023-10-15,18.2,90.0,0.0,1.5,22.9,0.318
2023-10-16,2023-10-16,17.4,96.0,0.0,8.3,22.9,0.309
2023-10-17,2023-10-17,17.2,95.0,0.0,6.2,23.0,0.301
2023-10-18,2023-10-18,18.5,85.0,0.0,3.8,22.8,0.295
2023-10-19,2023-10-19,17.5,88.0,0.0,1.6,22.5,0.286
2023-10-20,2023-10-20,16.1,94.0,0.0,2.9,22.3,0.281
2023-10-21,2023-10-21,16.5,77.0,0.0,5.5,21.8,0.275
2023-10-22,2023-10-22,17.6,87.0,0.0,6.3,22.1,0.269
2023-10-23,2023-10-23,20.1,80.0,0.0,7.9,22.7,0.264
2023-10-24,2023-10-24,19.0,95.0,0.2,4.7,22.2,0.262
2023-10-25,2023-10-25,18.4,94.0,0.0,6.8,21.1,0.263
2023-10-26,2023-10-26,18.4,96.0,0.0,6.7,21.0,0.277
2023-10-27,2023-10-27,17.1,98.0,0.0,3.3,21.6,0.283
2023-10-28,2023-10-28,16.6,93.0,0.0,1.5,21.6,0.281
2023-10-29,2023-10-29,16.0,87.0,0.0,4.5,21.3,0.276
2023-10-30,2023-10-30,14.8,87.0,0.0,7.4,20.9,0.27
2023-10-31,2023-10-31,16.3,83.0,0.0,5.6,21.0,0.263
2023-11-01,2023-11-01,17.0,81.0,0.0,5.5,21.4,0.256
2023-11-02,2023-11-02,16.0,92.0,0.0,4.3,21.7,0.249
2023-11-03,2023-11-03,14.5,87.0,0.0,2.3,21.3,0.243
2023-11-04,2023-11-04,15.4,89.0,0.0,2.3,21.2,0.24
2023-11-05,2023-11-05,13.6,95.0,0.0,3.0,21.0,0.233
2023-11-06,2023-11-06,14.4,85.0,0.0,6.3,20.6,0.229
2023-11-07,2023-11-07,15.2,75.0,0.0,4.2,20.5,0.223
2023-11-08,2023-11-08,15.2,84.0,0.0,1.6,20.3,0.218
2023-11-09,2023-11-09,13.3,90.0,0.0,3.7,20.3,0.213
2023-11-10,2023-11-10,14.0,82.0,0.0,5.5,20.0,0.208
2023-11-11,2023-11-11,13.1,80.0,0.0,5.9,19.9,0.204
2023-11-12,2023-11-12,15.1,72.0,0.0,4.1,20.2,0.202
2023-11-13,2023-11-13,14.2,77.0,0.0,4.8,20.0,0.197
2023-11-14,2023-11-14,14.2,76.0,0.0,4.6,19.8,0.195
2023-11-15,2023-11-15,14.7,88.0,0.0,4.9,20.4,0.188
2023-11-16,2023-11-16,17.3,91.0,0.0,9.2,21.4,0.186
2023-11-17,2023-11-17,18.3,96.0,1.6,6.7,20.9,0.185
2023-11-18,2023-11-18,17.0,92.0,0.3,5.2,19.2,0.361
2023-11-19,2023-11-19,14.3,99.0,0.0,3.3,19.3,0.356
2023-11-20,2023-11-20,13.3,99.0,0.0,6.8,19.1,0.347
2023-11-21,2023-11-21,14.4,92.0,0.0,3.0,19.2,0.337
2023-11-22,2023-11-22,13.7,98.0,0.0,4.0,18.4,0.333
2023-11-23,2023-11-23,12.6,98.0,0.0,6.0,18.1,0.324
2023-11-24,2023-11-24,10.2,88.0,0.0,9.2,17.8,0.318
2023-11-25,2023-11-25,11.7,67.0,0.0,7.8,17.5,0.307
2023-11-26,2023-11-26,10.6,75.0,0.0,7.3,17.0,0.304
2023-11-27,2023-11-27,11.4,86.0,0.0,5.4,16.5,0.298
2023-11-28,2023-11-28,13.4,72.0,0.0,6.2,16.6,0.29
2023-11-29,2023-11-29,12.7,79.0,0.0,5.2,16.7,0.281
2023-11-30,2023-11-30,13.3,77.0,0.0,4.0,16.9,0.275
2023-12-01,2023-12-01,11.3,93.0,0.0,6.6,17.3,0.272
2023-12-02,2023-12-02,12.3,91.0,0.0,5.2,17.3,0.269
2023-12-03,2023-12-03,14.2,83.0,0.0,3.7,17.6,0.26
2023-12-04,2023-12-04,11.3,90.0,0.0,9.3,17.7,0.255
2023-12-05,2023-12-05,16.3,86.0,0.0,1.0,18.6,0.248
2023-12-06,2023-12-06,12.7,96.0,0.0,5.1,18.0,0.245
2023-12-07,2023-12-07,16.7,94.0,2.5,7.2,18.7,0.242
2023-12-08,2023-12-08,16.0,94.0,0.3,2.5,17.9,0.348
2023-12-09,2023-12-09,15.3,98.0,0.1,1.1,18.2,0.413
2023-12-10,2023-12-10,15.0,97.0,0.0,4.2,18.1,0.398
2023-12-11,2023-12-11,12.0,93.0,0.0,4.8,17.5,0.378
2023-12-12,2023-12-12,10.2,93.0,0.0,5.9,16.9,0.366
2023-12-13,2023-12-13,12.6,83.0,0.0,7.9,16.6,0.356
2023-12-14,2023-12-14,11.0,99.0,0.0,8.0,16.9,0.346
2023-12-15,2023-12-15,8.9,80.0,0.0,3.4,15.7,0.336
2023-12-16,2023-12-16,8.0,82.0,0.0,6.6,15.0,0.334
2023-12-17,2023-12-17,10.1,77.0,0.0,6.4,14.8,0.33
2023-12-18,2023-12-18,10.6,79.0,0.0,3.9,14.7,0.323
2023-12-19,2023-12-19,10.5,72.0,0.0,5.4,14.7,0.317
2023-12-20,2023-12-20,9.9,75.0,0.0,5.6,14.5,0.308
2023-12-21,2023-12-21,7.5,89.0,0.0,8.2,14.5,0.302
2023-12-22,2023-12-22,8.1,86.0,0.0,7.6,14.2,0.294
2023-12-23,2023-12-23,8.0,89.0,0.0,11.0,14.3,0.288
2023-12-24,2023-12-24,9.6,90.0,0.0,9.3,14.9,0.28
2023-12-25,2023-12-25,13.4,91.0,0.1,2.6,15.9,0.28
2023-12-26,2023-12-26,10.1,98.0,0.0,7.5,15.8,0.321
2023-12-27,2023-12-27,9.8,94.0,0.0,5.9,15.4,0.319
2023-12-28,2023-12-28,9.3,92.0,0.0,7.1,15.1,0.314
2023-12-29,2023-12-29,10.2,92.0,0.0,6.4,15.3,0.31
2023-12-30,2023-12-30,10.2,83.0,0.0,7.3,15.0,0.307
2023-12-31,2023-12-31,9.7,88.0,0.0,6.4,14.6,0.306
2024-01-01,2024-01-01,10.5,79.0,0.0,1.8,14.1,0.304
2024-01-02,2024-01-02,10.0,87.0,0.0,4.1,14.2,0.299
2024-01-03,2024-01-03,10.2,78.0,0.0,4.2,14.1,0.294
2024-01-04,2024-01-04,10.0,84.0,0.0,2.3,14.0,0.287
2024-01-05,2024-01-05,9.9,86.0,0.0,1.8,13.6,0.282
2024-01-06,2024-01-06,10.1,72.0,0.0,4.6,13.5,0.28
2024-01-07,2024-01-07,10.6,73.0,0.0,1.5,13.5,0.278
2024-01-08,2024-01-08,9.9,77.0,0.0,1.1,13.3,0.275
2024-01-09,2024-01-09,9.1,80.0,0.0,2.1,13.4,0.273
2024-01-10,2024-01-10,8.0,81.0,0.0,3.4,13.2,0.271
2024-01-11,2024-01-11,9.3,84.0,0.0,0.4,13.3,0.267
2024-01-12,2024-01-12,8.9,83.0,0.0,2.4,13.2,0.265
2024-01-13,2024-01-13,7.2,90.0,0.0,7.3,13.2,0.262
2024-01-14,2024-01-14,6.5,89.0,0.0,10.9,12.9,0.257
2024-01-15,2024-01-15,7.1,87.0,0.0,9.0,13.2,0.253
2024-01-16,2024-01-16,10.1,81.0,0.0,3.5,13.4,0.251
2024-01-17,2024-01-17,9.2,95.0,0.0,1.5,13.9,0.243
2024-01-18,2024-01-18,7.9,88.0,0.0,1.1,13.6,0.24
2024-01-19,2024-01-19,8.4,67.0,0.0,2.3,13.2,0.234
2024-01-20,2024-01-20,8.4,76.0,0.0,2.6,13.1,0.237
2024-01-21,2024-01-21,8.9,71.0,0.0,1.0,12.8,0.237
2024-01-22,2024-01-22,7.7,70.0,0.0,1.3,12.8,0.234
2024-01-23,2024-01-23,6.9,73.0,0.0,5.6,12.8,0.23
2024-01-24,2024-01-24,6.1,89.0,0.0,6.2,13.1,0.228
2024-01-25,2024-01-25,11.2,86.0,0.0,7.2,14.5,0.225
2024-01-26,2024-01-26,8.9,77.0,0.0,2.9,14.0,0.221
2024-01-27,2024-01-27,10.0,90.0,0.0,2.5,14.0,0.216
2024-01-28,2024-01-28,8.8,68.0,0.0,4.3,13.8,0.211
2024-01-29,2024-01-29,8.8,58.0,0.0,6.5,13.4,0.21
2024-01-30,2024-01-30,8.6,75.0,0.0,2.2,13.5,0.214
